Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
11,PHO,2004-2005,L,86,95,34,88,0.386,2,12,0.167,16,22,0.727,16,46,18,8,6,15,24,34,82,0.415,10,24,0.417,17,23,0.739,14,44,21,6,9,17,22
12,LAL,2004-2005,L,76,89,27,80,0.338,3,9,0.333,19,22,0.864,14,40,15,7,6,14,24,30,75,0.4,8,25,0.32,21,22,0.955,11,40,21,8,3,18,21
13,DEN,2004-2005,L,67,76,28,69,0.406,3,9,0.333,8,8,1,7,37,20,9,4,21,21,28,69,0.406,7,11,0.636,13,18,0.722,6,35,20,14,8,16,15
14,SAC,2004-2005,L,81,94,37,96,0.385,1,13,0.077,6,7,0.857,21,45,22,10,2,13,18,34,70,0.486,6,21,0.286,20,23,0.87,11,42,26,8,0,18,15
15,DET,2004-2005,L,69,92,30,83,0.361,4,18,0.222,5,7,0.714,12,37,22,8,2,15,25,37,68,0.544,2,11,0.182,16,24,0.667,8,45,26,7,7,16,16
16,HOU,2004-2005,L,81,89,28,72,0.389,3,15,0.2,22,28,0.786,7,29,18,5,2,9,25,32,71,0.451,4,18,0.222,21,29,0.724,13,41,24,5,7,10,24
17,NYK,2004-2005,L,79,86,29,83,0.349,2,13,0.154,19,22,0.864,15,45,20,5,3,10,21,32,74,0.432,6,17,0.353,16,20,0.8,11,46,23,5,6,17,23
18,NJN,2004-2005,L,91,94,34,83,0.41,6,21,0.286,17,21,0.81,13,34,21,18,3,14,21,38,70,0.543,9,19,0.474,9,12,0.75,10,40,24,7,3,27,24
19,WAS,2004-2005,L,69,88,21,66,0.318,2,12,0.167,25,30,0.833,10,45,14,10,3,30,17,35,88,0.398,3,18,0.167,15,20,0.75,16,49,17,20,3,20,24
20,CHA,2004-2005,L,93,94,34,76,0.447,6,12,0.5,19,22,0.864,10,39,27,7,3,16,26,37,88,0.42,2,5,0.4,18,27,0.667,20,49,23,11,6,14,23
21,GSW,2004-2005,W,98,89,38,84,0.452,3,10,0.3,19,25,0.76,14,47,24,9,5,12,20,34,79,0.43,6,20,0.3,15,22,0.682,7,34,18,5,4,13,24
22,SAS,2004-2005,L,67,83,29,76,0.382,0,7,0,9,11,0.818,13,34,16,2,2,12,25,32,75,0.427,5,17,0.294,14,27,0.519,16,45,24,7,6,8,17
23,SAC,2004-2005,L,71,107,25,77,0.325,3,12,0.25,18,26,0.692,15,34,18,12,1,19,24,39,75,0.52,9,23,0.391,20,24,0.833,12,46,30,10,6,17,19
24,LAC,2004-2005,L,91,100,31,88,0.352,4,14,0.286,25,29,0.862,15,42,23,6,2,10,22,39,79,0.494,6,18,0.333,16,25,0.64,12,46,27,6,7,12,18
25,LAL,2004-2005,L,89,101,36,99,0.364,10,26,0.385,7,11,0.636,15,40,20,8,4,9,27,31,82,0.378,9,25,0.36,30,37,0.811,21,65,13,8,7,16,16
26,CLE,2004-2005,L,91,100,30,84,0.357,8,17,0.471,23,29,0.793,15,42,18,9,4,11,24,37,73,0.507,4,8,0.5,22,32,0.688,9,42,29,8,8,13,21
27,IND,2004-2005,L,82,100,31,77,0.403,1,15,0.067,19,28,0.679,11,31,16,8,6,6,17,34,67,0.507,5,10,0.5,27,33,0.818,11,45,20,4,3,17,22
28,PHO,2004-2005,L,96,107,39,83,0.47,9,27,0.333,9,10,0.9,9,40,24,6,3,14,19,40,88,0.455,12,29,0.414,15,20,0.75,14,39,20,9,2,10,11
29,BOS,2004-2005,L,90,108,34,87,0.391,4,18,0.222,18,25,0.72,16,43,18,14,3,12,28,36,80,0.45,11,20,0.55,25,31,0.806,19,53,22,8,5,22,24
30,CHI,2004-2005,L,89,95,30,82,0.366,9,27,0.333,20,30,0.667,7,33,19,10,5,10,24,32,72,0.444,3,14,0.214,28,34,0.824,11,45,16,4,7,21,21
31,MEM,2004-2005,L,76,84,26,82,0.317,5,17,0.294,19,23,0.826,18,45,16,6,4,7,21,31,69,0.449,8,22,0.364,14,15,0.933,9,42,18,3,11,12,23
32,SAC,2004-2005,W,121,117,42,93,0.452,13,26,0.5,24,29,0.828,13,46,29,7,1,10,28,42,95,0.442,5,18,0.278,28,32,0.875,17,52,27,7,4,13,28
33,NYK,2004-2005,W,88,82,31,70,0.443,5,16,0.313,21,25,0.84,10,35,22,3,1,9,20,33,77,0.429,1,11,0.091,15,21,0.714,15,38,18,4,1,7,19
34,DET,2004-2005,L,76,90,32,77,0.416,3,13,0.231,9,12,0.75,11,35,15,4,4,12,20,35,74,0.473,5,19,0.263,15,20,0.75,10,44,25,6,7,12,16
35,POR,2004-2005,W,112,106,35,78,0.449,12,30,0.4,30,36,0.833,19,46,23,2,4,10,21,39,79,0.494,16,32,0.5,12,21,0.571,9,30,21,6,4,8,27
36,TOR,2004-2005,L,99,102,40,90,0.444,8,28,0.286,11,17,0.647,14,39,30,5,5,6,22,32,77,0.416,10,18,0.556,28,31,0.903,11,45,19,3,4,10,17
37,PHI,2004-2005,L,91,95,33,77,0.429,2,15,0.133,23,25,0.92,11,48,19,5,3,17,29,32,83,0.386,4,16,0.25,27,31,0.871,13,43,16,10,5,11,21
38,IND,2004-2005,W,90,87,33,72,0.458,0,7,0,24,32,0.75,11,46,20,5,5,14,23,33,76,0.434,4,15,0.267,17,23,0.739,7,38,16,4,3,13,25
39,LAC,2004-2005,W,88,85,33,77,0.429,6,19,0.316,16,21,0.762,10,38,19,2,4,8,21,34,69,0.493,2,7,0.286,15,22,0.682,6,36,26,5,5,12,19
40,MIA,2004-2005,L,68,97,25,76,0.329,4,19,0.211,14,16,0.875,10,38,17,4,5,10,13,40,80,0.5,6,16,0.375,11,12,0.917,10,46,22,7,5,10,15
41,HOU,2004-2005,L,77,82,32,74,0.432,5,12,0.417,8,13,0.615,9,37,21,5,4,16,22,29,76,0.382,6,23,0.261,18,23,0.783,13,42,18,8,5,11,13
42,PHI,2004-2005,W,99,95,38,76,0.5,8,20,0.4,15,24,0.625,7,42,28,9,5,22,21,34,86,0.395,7,19,0.368,20,28,0.714,15,44,21,10,5,18,22
43,SAS,2004-2005,L,83,93,35,77,0.455,5,11,0.455,8,13,0.615,12,38,14,5,6,16,25,34,72,0.472,5,17,0.294,20,30,0.667,13,40,23,10,7,12,17
44,MEM,2004-2005,L,91,98,38,81,0.469,6,19,0.316,9,10,0.9,11,34,25,8,2,13,26,31,63,0.492,9,19,0.474,27,32,0.844,5,32,26,8,2,16,16
45,DAL,2004-2005,L,82,90,29,75,0.387,4,13,0.308,20,26,0.769,15,46,18,8,6,15,22,32,71,0.451,3,8,0.375,23,28,0.821,9,36,21,8,6,12,24
46,GSW,2004-2005,L,82,90,29,71,0.408,7,21,0.333,17,23,0.739,8,40,16,4,6,18,25,35,88,0.398,2,14,0.143,18,23,0.783,17,45,20,13,7,8,20
47,UTA,2004-2005,L,92,108,30,72,0.417,12,23,0.522,20,23,0.87,13,32,18,7,1,18,32,35,66,0.53,5,12,0.417,33,41,0.805,8,37,24,9,7,13,23
48,SEA,2004-2005,L,91,108,29,75,0.387,5,15,0.333,28,36,0.778,11,28,15,6,2,11,21,41,70,0.586,8,20,0.4,18,27,0.667,11,41,19,6,7,13,28
49,POR,2004-2005,W,91,80,35,79,0.443,7,18,0.389,14,17,0.824,14,47,26,5,5,14,15,30,75,0.4,5,17,0.294,15,16,0.938,8,32,15,9,6,8,18
50,GSW,2004-2005,W,111,108,40,74,0.541,10,18,0.556,21,26,0.808,8,39,26,3,0,16,21,40,84,0.476,12,29,0.414,16,21,0.762,10,34,23,8,4,11,20
51,ORL,2004-2005,L,94,97,35,80,0.438,9,23,0.391,15,24,0.625,10,38,22,7,2,16,25,36,73,0.493,3,10,0.3,22,29,0.759,9,42,23,12,8,16,18
52,WAS,2004-2005,W,98,96,39,82,0.476,8,24,0.333,12,19,0.632,13,34,28,7,2,9,22,35,82,0.427,5,22,0.227,21,24,0.875,17,48,11,6,6,14,22
53,SAS,2004-2005,L,78,101,30,68,0.441,4,12,0.333,14,23,0.609,5,30,20,5,12,13,16,40,88,0.455,7,14,0.5,14,18,0.778,19,51,27,9,7,9,19
54,SEA,2004-2005,L,85,103,33,70,0.471,5,15,0.333,14,18,0.778,8,30,24,10,4,15,26,31,70,0.443,16,31,0.516,25,30,0.833,13,42,22,10,3,13,16
55,DEN,2004-2005,L,93,94,32,77,0.416,10,18,0.556,19,24,0.792,12,38,19,7,4,22,33,29,70,0.414,3,10,0.3,33,36,0.917,11,39,16,13,8,17,24
56,DAL,2004-2005,L,86,90,33,70,0.471,6,17,0.353,14,23,0.609,11,45,15,8,6,22,31,30,67,0.448,4,15,0.267,26,34,0.765,6,31,18,8,7,16,20
57,CHA,2004-2005,W,94,85,33,83,0.398,6,17,0.353,22,27,0.815,16,51,25,6,4,17,20,33,83,0.398,2,7,0.286,17,23,0.739,11,43,17,6,5,15,22
58,UTA,2004-2005,W,92,85,33,73,0.452,2,13,0.154,24,37,0.649,11,44,24,8,5,17,27,28,83,0.337,2,11,0.182,27,34,0.794,17,48,11,10,5,13,29
59,TOR,2004-2005,L,84,95,32,84,0.381,4,19,0.211,16,18,0.889,12,43,21,6,5,14,19,34,73,0.466,10,21,0.476,17,20,0.85,8,40,21,9,5,13,19
60,NJN,2004-2005,L,85,86,34,91,0.374,3,16,0.188,14,21,0.667,15,49,22,12,5,15,25,31,84,0.369,6,16,0.375,18,25,0.72,19,49,19,11,4,15,24
61,MIL,2004-2005,W,111,107,42,86,0.488,7,18,0.389,20,31,0.645,13,41,30,9,1,7,30,38,77,0.494,8,20,0.4,23,27,0.852,9,37,20,0,8,16,20
62,SAS,2004-2005,L,89,112,39,90,0.433,2,5,0.4,9,10,0.9,14,37,21,5,0,10,18,41,75,0.547,13,19,0.684,17,21,0.81,11,45,29,4,8,13,15
63,MEM,2004-2005,L,82,88,29,77,0.377,7,16,0.438,17,25,0.68,15,43,19,6,4,16,23,34,71,0.479,6,13,0.462,14,22,0.636,6,34,19,11,4,14,25
64,CHI,2004-2005,W,94,90,35,90,0.389,1,13,0.077,23,34,0.676,16,45,21,6,5,10,26,26,69,0.377,11,23,0.478,27,34,0.794,11,47,19,2,12,20,25
65,BOS,2004-2005,L,100,113,39,82,0.476,6,15,0.4,16,20,0.8,10,37,22,5,4,15,25,38,73,0.521,10,19,0.526,27,31,0.871,6,35,22,7,3,13,20
66,DAL,2004-2005,L,86,103,26,66,0.394,5,12,0.417,29,41,0.707,11,37,15,9,3,17,27,33,79,0.418,9,18,0.5,28,33,0.848,16,45,20,9,7,14,29
67,MIN,2004-2005,L,102,107,36,84,0.429,9,19,0.474,21,29,0.724,17,43,22,6,3,14,21,38,74,0.514,4,17,0.235,27,29,0.931,6,34,21,6,8,10,26
68,HOU,2004-2005,L,68,81,27,77,0.351,0,10,0,14,23,0.609,12,46,19,5,6,16,23,30,82,0.366,3,20,0.15,18,22,0.818,14,54,17,4,5,11,22
69,MEM,2004-2005,W,96,85,36,76,0.474,8,16,0.5,16,27,0.593,14,42,21,9,3,15,30,27,68,0.397,2,17,0.118,29,36,0.806,12,39,9,9,8,16,21
70,CLE,2004-2005,L,108,109,41,83,0.494,8,15,0.533,18,26,0.692,13,38,33,7,2,15,24,37,79,0.468,7,17,0.412,28,35,0.8,11,40,21,9,2,14,22
71,HOU,2004-2005,W,76,73,22,72,0.306,2,13,0.154,30,38,0.789,14,55,11,4,3,14,20,24,78,0.308,7,25,0.28,18,23,0.783,13,43,14,9,4,12,26
72,MIA,2004-2005,L,99,111,36,72,0.5,4,11,0.364,23,28,0.821,6,25,24,5,3,14,20,44,80,0.55,6,14,0.429,17,26,0.654,12,39,29,12,2,14,25
73,ATL,2004-2005,W,96,86,36,78,0.462,3,12,0.25,21,24,0.875,11,40,20,14,8,16,21,35,78,0.449,4,11,0.364,12,14,0.857,13,38,21,9,3,18,25
74,DEN,2004-2005,L,83,94,32,85,0.376,3,14,0.214,16,18,0.889,13,46,18,3,12,15,23,33,76,0.434,3,3,1,25,31,0.806,7,41,23,8,5,12,21
75,UTA,2004-2005,L,87,98,32,77,0.416,3,13,0.231,20,25,0.8,13,32,15,7,2,16,27,34,62,0.548,2,7,0.286,28,37,0.757,7,35,23,12,2,18,26
76,POR,2004-2005,L,81,90,33,80,0.413,3,12,0.25,12,16,0.75,11,44,20,6,3,17,21,35,83,0.422,2,17,0.118,18,20,0.9,12,41,24,9,8,9,18
77,PHO,2004-2005,L,85,99,36,95,0.379,3,17,0.176,10,16,0.625,12,46,19,8,6,7,21,33,79,0.418,13,27,0.481,20,24,0.833,8,49,21,4,10,13,14
78,DEN,2004-2005,L,102,116,41,91,0.451,4,11,0.364,16,21,0.762,13,45,21,7,5,15,20,47,93,0.505,4,7,0.571,18,27,0.667,14,45,29,11,10,10,21
79,SEA,2004-2005,L,72,97,26,70,0.371,4,10,0.4,16,19,0.842,7,31,17,4,3,15,21,34,78,0.436,9,23,0.391,20,25,0.8,11,44,21,7,7,11,20
80,LAC,2004-2005,L,89,94,29,73,0.397,6,14,0.429,25,29,0.862,13,37,17,8,1,18,26,38,71,0.535,0,3,0,18,25,0.72,8,34,29,10,3,14,28
81,MIN,2004-2005,L,99,102,38,79,0.481,6,18,0.333,17,24,0.708,11,39,30,3,5,12,21,42,84,0.5,1,8,0.125,17,27,0.63,15,43,27,6,6,6,18
82,LAC,2004-2005,L,75,86,29,86,0.337,1,15,0.067,16,17,0.941,17,44,19,6,7,12,22,34,83,0.41,3,5,0.6,15,22,0.682,18,55,15,9,6,11,16
